Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Oct-24,EQ,"1,724.00","1,742.00","1,720.10","1,732.05","1,728.30","1,726.20","1,725.83","1,794.00","1,363.55","1,22,86,142","21,20,38,53,820.45","2,37,679"
30-Sep-24,EQ,"1,748.80","1,751.45","1,724.40","1,752.65","1,732.00","1,732.05","1,734.57","1,794.00","1,363.55","1,31,91,767","22,88,20,63,615.10","3,43,613"
27-Sep-24,EQ,"1,777.00","1,778.20","1,750.00","1,783.45","1,753.00","1,752.65","1,759.73","1,794.00","1,363.55","1,78,06,751","31,33,50,62,628.80","3,39,917"
26-Sep-24,EQ,"1,773.05","1,788.00","1,768.05","1,779.10","1,778.00","1,783.45","1,778.51","1,794.00","1,363.55","1,59,49,822","28,36,69,59,862.95","3,43,553"
25-Sep-24,EQ,"1,760.15","1,788.00","1,760.15","1,768.05","1,779.85","1,779.10","1,778.97","1,794.00","1,363.55","1,59,82,656","28,43,25,92,068.70","4,98,237"
24-Sep-24,EQ,"1,765.00","1,781.65","1,754.25","1,759.80","1,766.70","1,768.05","1,768.80","1,794.00","1,363.55","1,65,19,518","29,21,97,57,725.30","4,04,809"
23-Sep-24,EQ,"1,749.00","1,766.35","1,740.25","1,741.20","1,757.00","1,759.80","1,756.93","1,794.00","1,363.55","1,34,82,675","23,68,80,96,929.70","4,49,232"
20-Sep-24,EQ,"1,716.50","1,744.95","1,707.55","1,708.50","1,737.20","1,741.20","1,734.60","1,794.00","1,363.55","3,03,11,693","52,57,86,27,456.00","5,19,608"
19-Sep-24,EQ,"1,699.20","1,719.00","1,699.15","1,694.80","1,707.70","1,708.50","1,710.95","1,794.00","1,363.55","1,53,25,888","26,22,17,70,150.40","3,47,649"
18-Sep-24,EQ,"1,671.85","1,698.90","1,671.10","1,668.80","1,692.95","1,694.80","1,691.30","1,794.00","1,363.55","2,04,58,671","34,60,16,83,780.25","4,47,311"
17-Sep-24,EQ,"1,678.00","1,678.00","1,664.15","1,670.95","1,668.30","1,668.80","1,668.90","1,794.00","1,363.55","1,00,63,561","16,79,50,97,219.15","2,73,207"
16-Sep-24,EQ,"1,667.00","1,677.80","1,664.05","1,665.95","1,670.00","1,670.95","1,670.83","1,794.00","1,363.55","75,86,410","12,67,56,30,406.45","2,14,575"
13-Sep-24,EQ,"1,674.00","1,674.00","1,657.05","1,666.60","1,664.80","1,665.95","1,663.66","1,794.00","1,363.55","1,19,30,266","19,84,79,46,539.35","2,75,521"
12-Sep-24,EQ,"1,654.00","1,670.00","1,647.05","1,643.90","1,661.45","1,666.60","1,659.83","1,794.00","1,363.55","1,62,12,023","26,90,91,82,591.25","2,66,121"
11-Sep-24,EQ,"1,650.40","1,652.50","1,639.20","1,650.35","1,650.00","1,643.90","1,645.85","1,794.00","1,363.55","1,11,13,342","18,29,09,01,279.50","2,48,100"
10-Sep-24,EQ,"1,654.00","1,654.00","1,638.00","1,646.50","1,650.80","1,650.35","1,648.20","1,794.00","1,363.55","1,33,03,323","21,92,65,34,318.85","3,06,124"
09-Sep-24,EQ,"1,638.00","1,648.50","1,630.10","1,636.95","1,644.85","1,646.50","1,640.85","1,794.00","1,363.55","1,18,96,457","19,52,02,44,474.05","2,58,547"
06-Sep-24,EQ,"1,638.30","1,647.75","1,634.10","1,645.45","1,638.15","1,636.95","1,639.77","1,794.00","1,363.55","1,30,14,801","21,34,13,04,566.10","2,96,891"
05-Sep-24,EQ,"1,646.00","1,649.90","1,642.00","1,641.80","1,644.40","1,645.45","1,645.43","1,794.00","1,363.55","1,14,38,159","18,82,07,12,001.80","2,45,493"
04-Sep-24,EQ,"1,639.00","1,644.80","1,632.00","1,637.35","1,641.05","1,641.80","1,639.54","1,794.00","1,363.55","1,23,41,372","20,23,42,15,559.05","2,94,496"
03-Sep-24,EQ,"1,634.00","1,639.95","1,624.60","1,626.95","1,638.00","1,637.35","1,632.11","1,794.00","1,363.55","1,86,41,430","30,42,48,19,912.05","2,92,439"
02-Sep-24,EQ,"1,646.80","1,646.80","1,623.20","1,636.90","1,626.00","1,626.95","1,631.94","1,794.00","1,363.55","1,70,24,840","27,78,34,83,803.95","3,75,245"
30-Aug-24,EQ,"1,656.00","1,662.00","1,621.15","1,638.55","1,625.75","1,636.90","1,638.34","1,794.00","1,363.55","22,26,71,050","3,64,81,13,05,104.20","5,64,643"
29-Aug-24,EQ,"1,642.00","1,644.40","1,631.15","1,637.10","1,639.95","1,638.55","1,637.56","1,794.00","1,363.55","2,45,26,302","40,16,32,06,501.15","4,32,962"
28-Aug-24,EQ,"1,637.75","1,639.75","1,630.20","1,637.75","1,635.95","1,637.10","1,636.29","1,794.00","1,363.55","1,34,60,594","22,02,53,91,586.45","2,75,424"
27-Aug-24,EQ,"1,643.40","1,647.40","1,632.20","1,639.95","1,634.45","1,637.75","1,639.59","1,794.00","1,363.55","1,78,86,622","29,32,67,92,469.00","2,92,507"
26-Aug-24,EQ,"1,632.20","1,647.95","1,632.20","1,625.05","1,640.00","1,639.95","1,642.31","1,794.00","1,363.55","1,11,82,133","18,36,44,86,559.55","2,75,112"
23-Aug-24,EQ,"1,634.00","1,634.00","1,623.00","1,631.30","1,625.20","1,625.05","1,627.63","1,794.00","1,363.55","1,01,66,711","16,54,76,68,751.15","2,12,238"
22-Aug-24,EQ,"1,632.00","1,638.30","1,628.00","1,625.80","1,628.95","1,631.30","1,632.58","1,794.00","1,363.55","1,06,50,319","17,38,75,21,802.75","2,72,441"
21-Aug-24,EQ,"1,628.10","1,634.55","1,617.80","1,637.70","1,628.00","1,625.80","1,624.85","1,794.00","1,363.55","2,38,15,452","38,69,65,27,016.25","3,23,415"
20-Aug-24,EQ,"1,627.45","1,646.00","1,627.45","1,631.55","1,634.00","1,637.70","1,639.14","1,794.00","1,363.55","1,55,67,247","25,51,69,52,644.85","2,40,802"
19-Aug-24,EQ,"1,637.65","1,637.65","1,623.70","1,632.10","1,632.75","1,631.55","1,628.46","1,794.00","1,363.55","97,51,082","15,87,92,78,800.80","1,66,314"
16-Aug-24,EQ,"1,628.50","1,634.15","1,611.00","1,607.80","1,631.50","1,632.10","1,624.71","1,794.00","1,363.55","1,39,24,623","22,62,34,79,529.55","3,02,506"
14-Aug-24,EQ,"1,606.50","1,613.70","1,603.20","1,603.20","1,607.80","1,607.80","1,607.97","1,794.00","1,363.55","1,61,67,214","25,99,64,12,110.40","2,59,067"
13-Aug-24,EQ,"1,628.00","1,632.40","1,601.15","1,660.10","1,605.90","1,603.20","1,613.32","1,794.00","1,363.55","2,70,27,521","43,60,41,63,966.10","6,01,558"
12-Aug-24,EQ,"1,652.00","1,675.95","1,647.35","1,650.20","1,660.00","1,660.10","1,664.63","1,794.00","1,363.55","1,96,58,098","32,72,35,06,965.00","3,63,538"
09-Aug-24,EQ,"1,652.00","1,662.55","1,645.80","1,642.70","1,650.00","1,650.20","1,655.58","1,794.00","1,363.55","1,33,22,309","22,05,61,57,155.50","2,91,916"
08-Aug-24,EQ,"1,624.00","1,653.30","1,619.25","1,623.50","1,640.20","1,642.70","1,638.73","1,794.00","1,363.55","1,69,88,475","27,83,95,62,575.60","3,27,468"
07-Aug-24,EQ,"1,617.00","1,630.00","1,602.20","1,601.20","1,628.50","1,623.50","1,617.23","1,794.00","1,363.55","2,11,73,132","34,24,18,47,264.50","3,37,720"
06-Aug-24,EQ,"1,630.00","1,632.95","1,593.30","1,615.75","1,602.70","1,601.20","1,608.02","1,794.00","1,363.55","2,25,58,025","36,27,38,37,922.85","3,88,854"
05-Aug-24,EQ,"1,640.10","1,646.00","1,601.00","1,659.15","1,616.05","1,615.75","1,622.77","1,794.00","1,363.55","2,06,66,817","33,53,74,31,288.70","4,64,696"
02-Aug-24,EQ,"1,631.00","1,670.50","1,631.00","1,638.80","1,658.05","1,659.15","1,658.62","1,794.00","1,363.55","2,20,59,619","36,58,86,23,126.10","4,57,935"
01-Aug-24,EQ,"1,622.90","1,650.05","1,617.95","1,615.75","1,647.65","1,638.80","1,632.59","1,794.00","1,363.55","1,31,07,587","21,39,93,47,523.90","2,87,915"
31-Jul-24,EQ,"1,614.00","1,627.90","1,609.20","1,615.55","1,617.95","1,615.75","1,617.31","1,794.00","1,363.55","1,89,10,242","30,58,38,06,061.70","3,34,519"
30-Jul-24,EQ,"1,602.00","1,634.75","1,599.00","1,605.05","1,614.20","1,615.55","1,615.74","1,794.00","1,363.55","2,72,97,917","44,10,64,24,811.40","4,55,812"
29-Jul-24,EQ,"1,615.00","1,631.85","1,598.30","1,618.15","1,605.00","1,605.05","1,611.97","1,794.00","1,363.55","2,55,00,574","41,10,61,52,746.35","4,72,326"
26-Jul-24,EQ,"1,605.00","1,621.75","1,596.45","1,616.60","1,616.30","1,618.15","1,609.37","1,794.00","1,363.55","2,19,05,270","35,25,36,30,971.05","3,55,180"
25-Jul-24,EQ,"1,593.00","1,625.00","1,593.00","1,604.05","1,616.75","1,616.60","1,613.59","1,794.00","1,363.55","1,27,67,866","20,60,20,46,896.30","2,79,974"
24-Jul-24,EQ,"1,608.15","1,621.00","1,588.05","1,618.40","1,608.35","1,604.05","1,604.13","1,794.00","1,363.55","3,08,64,103","49,50,99,47,077.30","4,32,932"
23-Jul-24,EQ,"1,647.55","1,647.80","1,605.00","1,642.55","1,616.60","1,618.40","1,623.96","1,794.00","1,363.55","2,60,01,076","42,22,47,80,773.65","4,49,509"
22-Jul-24,EQ,"1,617.00","1,651.00","1,612.65","1,607.30","1,642.00","1,642.55","1,637.66","1,794.00","1,363.55","2,68,72,411","44,00,79,04,357.70","5,48,620"
19-Jul-24,EQ,"1,616.00","1,623.00","1,603.50","1,614.80","1,605.00","1,607.30","1,609.91","1,794.00","1,363.55","1,30,01,076","20,93,05,35,372.85","2,76,983"
18-Jul-24,EQ,"1,608.00","1,623.95","1,599.15","1,619.75","1,615.00","1,614.80","1,613.29","1,794.00","1,363.55","1,68,58,532","27,19,76,55,556.65","3,32,318"
16-Jul-24,EQ,"1,620.75","1,627.00","1,616.80","1,622.10","1,621.00","1,619.75","1,621.84","1,794.00","1,363.55","1,44,75,162","23,47,63,41,772.45","2,69,979"
15-Jul-24,EQ,"1,623.50","1,629.80","1,615.20","1,622.70","1,623.00","1,622.10","1,622.00","1,794.00","1,363.55","1,66,87,847","27,06,76,66,840.40","2,17,738"
12-Jul-24,EQ,"1,622.00","1,638.40","1,611.15","1,621.90","1,627.55","1,622.70","1,624.06","1,794.00","1,363.55","2,80,24,980","45,51,42,20,345.85","3,32,780"
11-Jul-24,EQ,"1,623.95","1,625.85","1,601.00","1,626.10","1,623.00","1,621.90","1,612.69","1,794.00","1,363.55","2,20,88,537","35,62,18,65,220.10","4,83,343"
10-Jul-24,EQ,"1,629.95","1,640.00","1,620.75","1,636.50","1,628.70","1,626.10","1,627.60","1,794.00","1,363.55","2,27,53,591","37,03,37,58,498.90","4,05,034"
09-Jul-24,EQ,"1,625.00","1,646.70","1,620.35","1,635.35","1,638.80","1,636.50","1,638.53","1,794.00","1,363.55","2,42,75,439","39,77,60,84,749.70","4,42,487"
08-Jul-24,EQ,"1,645.30","1,654.95","1,627.15","1,648.10","1,636.35","1,635.35","1,640.07","1,794.00","1,363.55","1,95,43,900","32,05,33,06,234.35","3,24,769"
05-Jul-24,EQ,"1,685.00","1,685.00","1,642.20","1,727.15","1,649.40","1,648.10","1,656.79","1,794.00","1,363.55","4,11,21,274","68,12,92,39,005.75","11,17,072"
04-Jul-24,EQ,"1,759.75","1,759.75","1,724.85","1,768.65","1,728.00","1,727.15","1,735.22","1,794.00","1,363.55","2,29,24,329","39,77,87,17,290.50","4,05,416"
03-Jul-24,EQ,"1,791.00","1,794.00","1,764.65","1,730.60","1,767.70","1,768.65","1,776.87","1,794.00","1,363.55","6,16,08,901","1,09,47,08,77,766.90","8,46,404"
02-Jul-24,EQ,"1,715.00","1,734.90","1,702.75","1,705.20","1,728.00","1,730.60","1,722.46","1,757.50","1,363.55","2,29,60,845","39,54,91,18,301.05","4,86,972"
01-Jul-24,EQ,"1,680.00","1,707.30","1,680.00","1,683.80","1,704.20","1,705.20","1,699.74","1,757.50","1,363.55","1,05,93,512","18,00,61,89,828.25","3,55,235"
28-Jun-24,EQ,"1,697.60","1,706.60","1,679.00","1,696.15","1,685.00","1,683.80","1,692.59","1,757.50","1,363.55","1,32,38,023","22,40,65,74,604.55","3,12,550"
27-Jun-24,EQ,"1,696.10","1,713.00","1,686.60","1,701.50","1,696.45","1,696.15","1,697.92","1,757.50","1,363.55","2,75,37,325","46,75,61,42,645.90","5,86,504"
26-Jun-24,EQ,"1,707.95","1,710.90","1,691.10","1,711.35","1,693.50","1,701.50","1,703.01","1,757.50","1,363.55","2,37,98,333","40,52,88,70,562.05","4,24,591"
25-Jun-24,EQ,"1,671.10","1,716.95","1,671.10","1,672.40","1,707.00","1,711.35","1,705.04","1,757.50","1,363.55","3,72,60,774","63,53,11,28,010.50","6,90,683"
24-Jun-24,EQ,"1,647.00","1,675.10","1,645.75","1,665.75","1,671.00","1,672.40","1,664.93","1,757.50","1,363.55","1,42,72,497","23,76,26,44,259.60","3,87,580"
21-Jun-24,EQ,"1,672.85","1,672.85","1,643.15","1,669.35","1,661.65","1,665.75","1,658.68","1,757.50","1,363.55","2,58,15,388","42,81,94,37,838.90","4,08,577"
20-Jun-24,EQ,"1,669.80","1,681.45","1,652.00","1,657.85","1,667.25","1,669.35","1,667.89","1,757.50","1,363.55","2,07,04,371","34,53,26,04,621.85","4,65,827"
19-Jun-24,EQ,"1,613.40","1,669.90","1,604.00","1,607.80","1,657.00","1,657.85","1,644.44","1,757.50","1,363.55","4,50,65,598","74,10,75,87,437.40","7,09,705"
18-Jun-24,EQ,"1,596.90","1,610.50","1,589.45","1,596.90","1,608.00","1,607.80","1,604.04","1,757.50","1,363.55","1,62,07,857","25,99,80,73,833.50","3,53,540"
14-Jun-24,EQ,"1,584.00","1,599.00","1,577.70","1,580.75","1,595.60","1,596.90","1,592.12","1,757.50","1,363.55","1,27,70,277","20,33,18,73,861.15","3,20,179"
13-Jun-24,EQ,"1,581.75","1,585.70","1,574.00","1,574.15","1,581.20","1,580.75","1,581.85","1,757.50","1,363.55","1,20,60,096","19,07,72,28,502.15","2,81,276"
12-Jun-24,EQ,"1,575.00","1,588.30","1,566.40","1,564.80","1,569.00","1,574.15","1,576.98","1,757.50","1,363.55","1,96,40,218","30,97,22,87,118.05","3,41,079"
11-Jun-24,EQ,"1,556.00","1,571.00","1,552.20","1,561.30","1,563.05","1,564.80","1,564.24","1,757.50","1,363.55","1,47,72,663","23,10,79,28,769.20","4,58,802"
10-Jun-24,EQ,"1,574.00","1,580.65","1,557.60","1,573.35","1,559.55","1,561.30","1,566.93","1,757.50","1,363.55","1,12,27,029","17,59,19,12,808.65","3,14,062"
07-Jun-24,EQ,"1,561.05","1,584.35","1,552.05","1,559.70","1,575.00","1,573.35","1,572.47","1,757.50","1,363.55","1,83,56,108","28,86,44,83,389.90","4,16,517"
06-Jun-24,EQ,"1,564.90","1,565.45","1,546.60","1,551.80","1,559.50","1,559.70","1,557.00","1,757.50","1,363.55","2,32,11,435","36,14,02,49,317.55","5,99,204"
05-Jun-24,EQ,"1,494.05","1,559.60","1,482.35","1,483.15","1,545.85","1,551.80","1,523.83","1,757.50","1,363.55","4,08,15,825","62,19,63,52,485.40","6,50,501"
04-Jun-24,EQ,"1,557.00","1,559.00","1,454.00","1,572.20","1,489.75","1,483.15","1,504.91","1,757.50","1,363.55","4,47,65,620","67,36,84,18,218.55","7,86,620"
03-Jun-24,EQ,"1,599.00","1,599.00","1,550.00","1,531.55","1,573.00","1,572.20","1,567.87","1,757.50","1,363.55","3,63,18,628","56,94,29,88,275.80","5,84,235"
31-May-24,EQ,"1,519.00","1,536.00","1,514.00","1,514.85","1,525.95","1,531.55","1,528.77","1,757.50","1,363.55","3,70,39,794","56,62,52,43,621.65","4,74,591"
30-May-24,EQ,"1,499.20","1,523.60","1,497.65","1,508.30","1,518.30","1,514.85","1,513.96","1,757.50","1,363.55","1,68,77,675","25,55,22,06,595.80","4,09,393"
29-May-24,EQ,"1,518.00","1,523.85","1,501.25","1,530.50","1,506.00","1,508.30","1,510.22","1,757.50","1,363.55","1,75,73,853","26,54,04,04,866.50","3,24,703"
28-May-24,EQ,"1,530.10","1,536.05","1,524.80","1,527.70","1,528.60","1,530.50","1,531.14","1,757.50","1,363.55","1,39,54,452","21,36,62,45,980.65","2,87,323"
27-May-24,EQ,"1,523.35","1,545.00","1,519.05","1,517.20","1,528.00","1,527.70","1,533.69","1,757.50","1,363.55","1,46,92,720","22,53,40,43,945.55","3,60,983"
24-May-24,EQ,"1,487.50","1,519.90","1,486.00","1,492.60","1,516.50","1,517.20","1,507.33","1,757.50","1,363.55","1,55,30,103","23,40,89,82,967.80","3,25,557"
23-May-24,EQ,"1,458.65","1,495.65","1,457.05","1,459.20","1,492.85","1,492.60","1,477.10","1,757.50","1,363.55","2,04,30,960","30,17,85,06,688.95","3,37,200"
22-May-24,EQ,"1,457.85","1,465.60","1,448.15","1,458.80","1,463.75","1,459.20","1,456.24","1,757.50","1,363.55","1,99,98,139","29,12,21,60,427.50","3,94,368"
21-May-24,EQ,"1,450.10","1,469.70","1,450.10","1,466.05","1,457.20","1,458.80","1,460.08","1,757.50","1,363.55","2,18,84,989","31,95,37,90,444.80","4,13,346"
18-May-24,EQ,"1,466.00","1,467.10","1,463.05","1,464.10","1,466.35","1,466.05","1,465.57","1,757.50","1,363.55","5,28,557","77,46,36,045.30","15,995"
17-May-24,EQ,"1,446.20","1,468.00","1,446.20","1,460.25","1,463.00","1,464.10","1,461.22","1,757.50","1,363.55","1,04,60,095","15,28,45,49,919.50","2,68,477"
16-May-24,EQ,"1,446.05","1,462.55","1,435.50","1,438.50","1,459.75","1,460.25","1,449.96","1,757.50","1,363.55","1,74,72,618","25,33,45,16,598.70","3,82,855"
15-May-24,EQ,"1,459.70","1,459.70","1,435.80","1,460.95","1,440.80","1,438.50","1,443.04","1,757.50","1,363.55","1,94,65,998","28,09,02,23,298.30","3,93,567"
14-May-24,EQ,"1,452.25","1,465.50","1,450.30","1,455.25","1,461.60","1,460.95","1,459.59","1,757.50","1,363.55","1,28,32,571","18,73,03,07,625.40","3,15,935"
13-May-24,EQ,"1,432.00","1,459.80","1,430.30","1,437.90","1,456.50","1,455.25","1,447.14","1,757.50","1,363.55","1,35,23,601","19,57,05,07,197.60","4,63,000"
10-May-24,EQ,"1,439.00","1,451.95","1,426.80","1,447.50","1,439.85","1,437.90","1,440.93","1,757.50","1,363.55","1,36,38,304","19,65,18,68,794.15","3,68,755"
09-May-24,EQ,"1,474.95","1,486.75","1,445.30","1,482.65","1,450.80","1,447.50","1,461.55","1,757.50","1,363.55","2,31,40,639","33,82,11,48,758.20","6,69,580"
08-May-24,EQ,"1,495.95","1,496.95","1,480.35","1,506.15","1,483.50","1,482.65","1,486.59","1,757.50","1,363.55","2,08,43,931","30,98,64,22,880.60","4,65,848"
07-May-24,EQ,"1,521.95","1,524.05","1,504.15","1,522.65","1,505.10","1,506.15","1,510.70","1,757.50","1,363.55","1,42,40,301","21,51,28,20,634.10","3,44,750"
06-May-24,EQ,"1,522.00","1,534.50","1,517.15","1,519.60","1,523.75","1,522.65","1,525.73","1,757.50","1,363.55","1,43,96,698","21,96,54,19,859.10","2,90,222"
03-May-24,EQ,"1,533.25","1,540.60","1,507.20","1,532.25","1,515.65","1,519.60","1,521.12","1,757.50","1,363.55","1,59,32,621","24,23,54,95,414.80","3,09,946"
02-May-24,EQ,"1,522.00","1,537.00","1,520.35","1,520.10","1,532.90","1,532.25","1,531.60","1,757.50","1,363.55","1,67,37,503","25,63,51,47,567.95","3,67,994"
30-Apr-24,EQ,"1,529.20","1,539.50","1,514.90","1,529.50","1,515.45","1,520.10","1,528.27","1,757.50","1,363.55","2,61,53,691","39,96,98,10,062.50","3,96,483"
29-Apr-24,EQ,"1,515.00","1,534.45","1,506.55","1,509.80","1,528.55","1,529.50","1,521.15","1,757.50","1,363.55","1,80,46,675","27,45,16,36,250.70","3,46,924"
26-Apr-24,EQ,"1,519.80","1,528.00","1,505.55","1,510.75","1,511.00","1,509.80","1,515.19","1,757.50","1,363.55","1,24,27,347","18,82,97,91,289.85","3,07,546"
25-Apr-24,EQ,"1,506.25","1,519.70","1,506.25","1,511.70","1,513.80","1,510.75","1,512.64","1,757.50","1,363.55","1,77,22,602","26,80,79,94,509.45","4,12,279"
24-Apr-24,EQ,"1,515.00","1,521.75","1,509.05","1,507.60","1,512.90","1,511.70","1,514.50","1,757.50","1,363.55","1,12,20,790","16,99,38,56,319.65","2,70,693"
23-Apr-24,EQ,"1,526.30","1,526.50","1,503.25","1,512.20","1,507.50","1,507.60","1,510.64","1,757.50","1,363.55","1,34,13,530","20,26,29,98,928.70","2,92,429"
22-Apr-24,EQ,"1,557.40","1,557.40","1,508.30","1,531.30","1,514.35","1,512.20","1,519.66","1,757.50","1,363.55","2,11,49,219","32,13,97,20,597.85","5,31,868"
19-Apr-24,EQ,"1,486.55","1,534.95","1,480.25","1,494.70","1,534.20","1,531.30","1,514.56","1,757.50","1,363.55","1,72,88,217","26,18,40,17,914.35","3,85,294"
18-Apr-24,EQ,"1,509.80","1,518.85","1,491.05","1,509.25","1,496.80","1,494.70","1,503.85","1,757.50","1,363.55","1,71,17,442","25,74,19,97,797.45","4,00,151"
16-Apr-24,EQ,"1,487.00","1,512.90","1,482.25","1,494.70","1,512.00","1,509.25","1,499.45","1,757.50","1,363.55","1,03,72,443","15,55,29,84,303.10","2,54,321"
15-Apr-24,EQ,"1,497.55","1,510.00","1,492.05","1,518.95","1,493.00","1,494.70","1,501.19","1,757.50","1,363.55","1,17,07,624","17,57,53,73,460.40","3,03,733"
12-Apr-24,EQ,"1,521.00","1,529.85","1,513.45","1,536.35","1,516.25","1,518.95","1,520.13","1,757.50","1,363.55","2,05,42,104","31,22,67,29,837.45","3,53,957"
10-Apr-24,EQ,"1,549.90","1,549.90","1,532.95","1,548.55","1,534.95","1,536.35","1,539.41","1,757.50","1,363.55","1,39,03,700","21,40,35,51,158.35","2,64,951"
09-Apr-24,EQ,"1,554.85","1,554.85","1,540.30","1,546.60","1,544.40","1,548.55","1,547.47","1,757.50","1,363.55","1,09,42,247","16,93,27,84,193.35","2,86,447"
08-Apr-24,EQ,"1,554.95","1,557.25","1,541.55","1,549.55","1,545.00","1,546.60","1,546.80","1,757.50","1,363.55","1,02,41,470","15,84,14,81,181.95","2,82,686"
05-Apr-24,EQ,"1,539.00","1,554.50","1,530.15","1,527.60","1,550.05","1,549.55","1,545.34","1,757.50","1,363.55","2,95,27,951","45,63,07,07,255.45","4,46,260"
04-Apr-24,EQ,"1,504.00","1,530.00","1,504.00","1,482.30","1,529.00","1,527.60","1,520.65","1,757.50","1,363.55","4,44,67,533","67,61,97,06,935.10","6,38,189"
